1.09998	0.997814
2.05004	0.996625
3.01661	0.995539
3.99913	0.994685
4.99251	0.994118
5.99227	0.993821
6.99553	0.993726
8.00051	0.993751
9.00582	0.99382
10.0103	0.993885
11.0129	0.993925
12.0132	0.993942
13.0112	0.993946
14.0073	0.99394
15.0024	0.993917
15.997	0.993868
16.9918	0.993801
17.9871	0.993771
18.9832	0.993909
19.9801	0.994392
20.9776	0.995324
21.9761	0.996474
22.9767	0.996862
23.9819	0.994292
24.9956	0.985172
26.0216	0.965387
27.06	0.933718
28.0988	0.899988
29.0986	0.899984
29.8986	1.09997
30.0986	1.89995
30.0986	2.89995
30.0631	3.93327
30.0292	4.96506
30.0078	5.9862
29.998	6.99819
29.9955	8.00487
29.9962	9.00897
29.9978	10.0116
29.9991	11.0129
29.9998	12.0126
30	13.011
29.9998	14.0087
29.9991	15.006
29.9977	16.0022
29.9959	16.9946
29.994	17.9781
29.9927	18.9467
29.9919	19.8993
