t,Ax,Ay,Yaw_rate,Vx,Steer,Slip_FL,Slip_FR,Slip_RL,Slip_RR,Beta
0,0,0,0,0,0,0,0,0,0,0
0.02,-0.156497378452066,0.617513493283124,0.176387835462643,66.685181819333,23.4,-0.00015619688791079,-0.000213974843257438,-0.000170246561630791,-0.000250698559883239,0.0114307956216406
0.04,-0.156497378452066,0.617513493283124,0.176387835462643,66.685181819333,23.4,-0.00015619688791079,-0.000213974843257438,-0.000170246561630791,-0.000250698559883239,0.0114307956216406
0.06,-0.354704972612004,3.69679387539569,3.80395296532839,66.6513879066523,71.4000000000001,0.000247018360221844,-0.000486479765750491,0.000123665457281262,-0.000448245560268042,0.212767021004153
0.08,-0.354704972612004,3.69679387539569,3.80395296532839,66.6513879066523,71.4000000000001,0.000247018360221844,-0.000486479765750491,0.000123665457281262,-0.000448245560268042,0.212767021004153
0.1,-0.639102136081346,5.28362925730795,11.2737954658745,66.5803316480772,119.4,0.0018976766834949,-0.000684322057699349,0.000446706806504343,-0.000498972423251078,0.491998301582458
0.12,-0.639102136081346,5.28362925730795,11.2737954658745,66.5803316480772,119.4,0.0018976766834949,-0.000684322057699349,0.000446706806504343,-0.000498972423251078,0.491998301582458
0.14,-0.608585087442509,5.73716117953084,18.2797555927285,66.4921894075912,147.645260773208,0.00872011973691953,0.00159733214320559,0.000568702905391364,-0.000427095482685642,0.582899255521763
0.16,-0.608585087442509,5.73716117953084,18.2797555927285,66.4921894075912,147.645260773208,0.00872011973691953,0.00159733214320559,0.000568702905391364,-0.000427095482685642,0.582899255521763
0.18,-0.202596954774756,6.43134200482637,22.979085006049,66.4425762214059,138.304513102279,0.0197418133238559,0.00602361074452202,0.000313811825064684,-0.000448216130422258,0.503664414131652
0.2,-0.202596954774756,6.43134200482637,22.979085006049,66.4425762214059,138.304513102279,0.0197418133238559,0.00602361074452202,0.000313811825064684,-0.000448216130422258,0.503664414131652
0.22,0.166040561652221,6.98859633097569,25.6980876434856,66.4505357706727,128.742127295938,0.0282640699682567,0.00917236600032873,-0.00010473578331157,-0.000489067085620373,0.360492777292751
0.24,0.166040561652221,6.98859633097569,25.6980876434856,66.4505357706727,128.742127295938,0.0282640699682567,0.00917236600032873,-0.00010473578331157,-0.000489067085620373,0.360492777292751
0.26,0.329901602689936,7.31629857078161,27.0378053501925,66.4953109995499,119.527310080715,0.0300496644651851,0.00962294799699071,-0.000435373797398205,-0.00050088625052088,0.191771553299387
0.28,0.329901602689936,7.31629857078161,27.0378053501925,66.4953109995499,119.527310080715,0.0300496644651851,0.00962294799699071,-0.000435373797398205,-0.00050088625052088,0.191771553299387
0.3,0.271748817395479,7.47508402385821,27.5240136492992,66.5432725456881,110.780884107604,0.0256496940508189,0.00794330436102538,-0.000615471816246424,-0.000491251069089423,0.016428761305263
0.32,0.271748817395479,7.47508402385821,27.5240136492992,66.5432725456881,110.780884107604,0.0256496940508189,0.00794330436102538,-0.000615471816246424,-0.000491251069089423,0.016428761305263
0.34,0.0982203574367452,7.51437883676698,27.4990258593218,66.5689507805349,102.598110997944,0.0187559325657184,0.00550626308017619,-0.000655844742365216,-0.000470980139646375,-0.15701516073002
0.36,0.0982203574367452,7.51437883676698,27.4990258593218,66.5689507805349,102.598110997944,0.0187559325657184,0.00550626308017619,-0.000655844742365216,-0.000470980139646375,-0.15701516073002
0.38,-0.057712169774705,7.43916865865121,27.2432038093666,66.5655553410352,94.8832488589355,0.0130563128610995,0.00354758077833991,-0.000618204202358769,-0.000458317071696281,-0.326454825318242
0.4,-0.057712169774705,7.43916865865121,27.2432038093666,66.5655553410352,94.8832488589355,0.0130563128610995,0.00354758077833991,-0.000618204202358769,-0.000458317071696281,-0.326454825318242
0.42,-0.102846680351598,7.30752579741999,26.8476556614285,66.543366915098,87.7791188377119,0.010467937494579,0.00276466567023528,-0.000612993695681605,-0.000453946193440547,-0.497202207493828
0.44,-0.102846680351598,7.30752579741999,26.8476556614285,66.543366915098,87.7791188377119,0.010467937494579,0.00276466567023528,-0.000612993695681605,-0.000453946193440547,-0.497202207493828
0.46,-0.0316498594163441,7.20367651411968,26.2060111881157,66.5200357963923,81.7691132104044,0.0108577663819195,0.00313976985094296,-0.000710215891311831,-0.000457525007044444,-0.66194827950911
0.48,-0.0316498594163441,7.20367651411968,26.2060111881157,66.5200357963923,81.7691132104044,0.0108577663819195,0.00313976985094296,-0.000710215891311831,-0.000457525007044444,-0.66194827950911
0.5,0.0924409177693483,7.15471197184662,25.2598753296939,66.5088792449944,77.2688766242523,0.0128906515199851,0.00410665492687354,-0.00086083414590683,-0.000465269598433236,-0.80342252470269
0.52,0.0924409177693483,7.15471197184662,25.2598753296939,66.5088792449944,77.2688766242523,0.0128906515199851,0.00410665492687354,-0.00086083414590683,-0.000465269598433236,-0.80342252470269
0.54,0.194822791111555,7.14519625428977,24.1297755403375,66.5129800589841,74.2612189649156,0.0149265481266703,0.00497329510108172,-0.000975213284397385,-0.000475345216311985,-0.905640226443941
0.56,0.194822791111555,7.14519625428977,24.1297755403375,66.5129800589841,74.2612189649156,0.0149265481266703,0.00497329510108172,-0.000975213284397385,-0.000475345216311985,-0.905640226443941
0.58,0.231574846807127,7.14873868413616,22.9865502218502,66.5266485775734,72.4590168165284,0.0157517230659133,0.00529702410069892,-0.00100895128549979,-0.000481611331183106,-0.961970397805493
0.6,0.231574846807127,7.14873868413616,22.9865502218502,66.5266485775734,72.4590168165284,0.0157517230659133,0.00529702410069892,-0.00100895128549979,-0.000481611331183106,-0.961970397805493
0.62,0.203270319856755,7.14503790818239,21.9458432544572,66.540881278538,71.5454331481845,0.0151451403465187,0.00505092641433121,-0.00096267852974563,-0.000481492195042129,-0.974371066964048
0.64,0.203270319856755,7.14503790818239,21.9458432544572,66.540881278538,71.5454331481845,0.0151451403465187,0.00505092641433121,-0.00096267852974563,-0.000481492195042129,-0.974371066964048
0.66,0.141664644132878,7.12275366803609,21.0678355934273,66.5490494159654,71.2442691509112,0.0137469789731349,0.00450536339267517,-0.000869675860841337,-0.000477965150612354,-0.950104919060198
0.68,0.141664644132878,7.12275366803609,21.0678355934273,66.5490494159654,71.2442691509112,0.0137469789731349,0.00450536339267517,-0.000869675860841337,-0.000477965150612354,-0.950104919060198
0.7,0.0841509198710606,7.08286797799984,20.373422782038,66.5494898183937,71.3396041107224,0.012381248166012,0.00399120564284793,-0.000771372497571109,-0.000474775626627614,-0.898535449647332
0.72,0.0841509198710606,7.08286797799984,20.373422782038,66.5494898183937,71.3396041107224,0.012381248166012,0.00399120564284793,-0.000771372497571109,-0.000474775626627614,-0.898535449647332
0.74,0.0553382630938604,7.02536932110631,19.8466988561343,66.5450098469027,71.7103862165998,0.0115983741946692,0.00372909288960468,-0.000695007934855264,-0.000474783370276148,-0.828573081024924
0.76,0.0553382630938604,7.02536932110631,19.8466988561343,66.5450098469027,71.7103862165998,0.0115983741946692,0.00372909288960468,-0.000695007934855264,-0.000474783370276148,-0.828573081024924
0.78,0.0577055028626487,6.958111658466,19.4756580127106,66.5402448765334,72.2607400796588,0.0114802239156474,0.00374471713331192,-0.000644752760358119,-0.000478126675014923,-0.748589009962188
0.8,0.0577055028626487,6.958111658466,19.4756580127106,66.5402448765334,72.2607400796588,0.0114802239156474,0.00374471713331192,-0.000644752760358119,-0.000478126675014923,-0.748589009962188
0.82,0.0761987491844567,6.89148136450882,19.223931137332,66.5387181846375,72.958101166013,0.0117274604680114,0.00390518755417195,-0.000619188222996912,-0.000481024903200943,-0.664356383154065
0.84,0.0761987491844567,6.89148136450882,19.223931137332,66.5387181846375,72.958101166013,0.0117274604680114,0.00390518755417195,-0.000619188222996912,-0.000481024903200943,-0.664356383154065
0.86,0.0913084296604002,6.82616606565258,19.0662269922052,66.5412559658325,73.7734923173258,0.011946557382098,0.00403549565348773,-0.000601980609231308,-0.000481700602030439,-0.580079632458788
0.88,0.0913084296604002,6.82616606565258,19.0662269922052,66.5412559658325,73.7734923173258,0.011946557382098,0.00403549565348773,-0.000601980609231308,-0.000481700602030439,-0.580079632458788
0.9,0.0908206582892964,6.76223434733817,18.9901923568853,66.5462677961552,74.6628268000762,0.0118685131851829,0.00402871834917448,-0.000580049424380005,-0.000479476424203024,-0.499124520083348
0.92,0.0908206582892964,6.76223434733817,18.9901923568853,66.5462677961552,74.6628268000762,0.0118685131851829,0.00402871834917448,-0.000580049424380005,-0.000479476424203024,-0.499124520083348
0.94,0.0741978368256271,6.69922864332809,19.0056673093606,66.5511996680294,75.5375858618002,0.0114627867364981,0.0038774335495098,-0.000546951325255276,-0.000476396682808598,-0.42489774178296
0.96,0.0741978368256271,6.69922864332809,19.0056673093606,66.5511996680294,75.5375858618002,0.0114627867364981,0.0038774335495098,-0.000546951325255276,-0.000476396682808598,-0.42489774178296
0.98,0.0498897139907302,6.64663942949536,19.1087278200204,66.5541063156615,76.3196206262378,0.0108891813825955,0.0036540943825582,-0.000513549603292461,-0.000472345113874369,-0.360367777082026
1,0.0498897139907302,6.64663942949536,19.1087278200204,66.5541063156615,76.3196206262378,0.0108891813825955,0.0036540943825582,-0.000513549603292461,-0.000472345113874369,-0.360367777082026
1.02,0.0287045361311261,6.60493050737083,19.2748946284471,66.5544916302505,76.9840186160672,0.0103800984638277,0.0034563830899376,-0.000488021761424522,-0.000468634138602326,-0.307211175666716
1.04,0.0287045361311261,6.60493050737083,19.2748946284471,66.5544916302505,76.9840186160672,0.0103800984638277,0.0034563830899376,-0.000488021761424522,-0.000468634138602326,-0.307211175666716
1.06,0.0177200072985724,6.57424079514269,19.4764172908957,66.5532044398095,77.5398895009413,0.0100918715350634,0.00334906826419884,-0.000474331824446923,-0.000466101835599984,-0.265994215957478
1.08,0.0177200072985724,6.57424079514269,19.4764172908957,66.5532044398095,77.5398895009413,0.0100918715350634,0.00334906826419884,-0.000474331824446923,-0.000466101835599984,-0.265994215957478
1.1,0.0173979889595701,6.55460411651506,19.6883835942574,66.5516501549697,78.017638277428,0.0100435023575074,0.00333900195004324,-0.000471742369049178,-0.00046488531865868,-0.236207471616411
1.12,0.0173979889595701,6.55460411651506,19.6883835942574,66.5516501549697,78.017638277428,0.0100435023575074,0.00333900195004324,-0.000471742369049178,-0.00046488531865868,-0.236207471616411
1.14,0.0229502003316781,6.54541810283292,19.8931346701659,66.5509003447917,78.4517124238567,0.0101479088029818,0.0033866948767409,-0.000476230230157262,-0.000464564195821287,-0.21653658023529
1.16,0.0229502003316781,6.54541810283292,19.8931346701659,66.5509003447917,78.4517124238567,0.0101479088029818,0.0033866948767409,-0.000476230230157262,-0.000464564195821287,-0.21653658023529
1.18,0.0282162351720072,6.54548561929854,20.0821832875886,66.5512088167454,78.8658559809193,0.0102863852602147,0.00343940036883166,-0.000482582888464685,-0.000464595138151389,-0.205280695352629
1.2,0.0282162351720072,6.54548561929854,20.0821832875886,66.5512088167454,78.8658559809193,0.0102863852602147,0.00343940036883166,-0.000482582888464685,-0.000464595138151389,-0.205280695352629
1.22,0.0292846615336399,6.55332530329201,20.2549112646851,66.5520949235353,79.2667978551586,0.0103761601350075,0.00346222589939026,-0.000487118684072465,-0.000464551717406219,-0.200748029924945
1.24,0.0292846615336399,6.55332530329201,20.2549112646851,66.5520949235353,79.2667978551586,0.0103761601350075,0.00346222589939026,-0.000487118684072465,-0.000464551717406219,-0.200748029924945
1.26,0.0259469374478502,6.5674580159093,20.4145637700764,66.552801226241,79.647991339412,0.0104012356083869,0.00345147075287276,-0.000488885040813321,-0.000464546592297492,-0.201492799312676
1.28,0.0259469374478502,6.5674580159093,20.4145637700764,66.552801226241,79.647991339412,0.0104012356083869,0.00345147075287276,-0.000488885040813321,-0.000464546592297492,-0.201492799312676
1.3,0.0208075951712325,6.58643582679035,20.5641021732367,66.5527830288692,79.9986496736452,0.0104012849824347,0.00342792980554565,-0.000489228383240152,-0.000464735288319682,-0.206372713516889
1.32,0.0208075951712325,6.58643582679035,20.5641021732367,66.5527830288692,79.9986496736452,0.0104012849824347,0.00342792980554565,-0.000489228383240152,-0.000464735288319682,-0.206372713516889
1.34,0.0171214310843614,6.60893442043219,20.7039005444169,66.5519605798272,80.3119740411796,0.0104340136972773,0.00341878185531011,-0.000490268852137138,-0.000465311799862615,-0.214474924365602
1.36,0.0171214310843614,6.60893442043219,20.7039005444169,66.5519605798272,80.3119740411796,0.0104340136972773,0.00341878185531011,-0.000490268852137138,-0.000465311799862615,-0.214474924365602
1.38,0.016827234459787,6.63378285385449,20.8318624856921,66.5506593790602,80.5884772027304,0.010536724520552,0.00344046619194507,-0.000493556944831753,-0.000466379454365224,-0.224996514120927
1.4,0.016827234459787,6.63378285385449,20.8318624856921,66.5506593790602,80.5884772027304,0.010536724520552,0.00344046619194507,-0.000493556944831753,-0.000466379454365224,-0.224996514120927
1.42,0.0197840016027739,6.65987266386615,20.9452625289429,66.5493480914769,80.8338415504816,0.0107083617605148,0.00349155547744284,-0.000499219443811957,-0.00046780667722863,-0.237176724241555
1.44,0.0197840016027739,6.65987266386615,20.9452625289429,66.5493480914769,80.8338415504816,0.0107083617605148,0.00349155547744284,-0.000499219443811957,-0.00046780667722863,-0.237176724241555
1.46,0.0243204921935029,6.68625760695413,21.042584175719,66.5483649885218,81.0543799054128,0.0109163996317317,0.00355712274296913,-0.000506247655231926,-0.000469403151485014,-0.250301166870809
1.48,0.0243204921935029,6.68625760695413,21.042584175719,66.5483649885218,81.0543799054128,0.0109163996317317,0.00355712274296913,-0.000506247655231926,-0.000469403151485014,-0.250301166870809
1.5,0.0284726446464121,6.71220524197945,21.1243233104071,66.5477826006578,81.2531991059894,0.0111191282776296,0.00361927313125365,-0.000513113594681967,-0.000470890098158002,-0.263745269779076
1.52,0.0284726446464121,6.71220524197945,21.1243233104071,66.5477826006578,81.2531991059894,0.0111191282776296,0.00361927313125365,-0.000513113594681967,-0.000470890098158002,-0.263745269779076
1.54,0.0310660603075196,6.73717545135346,21.1925655395435,66.5474476074286,81.4290030578764,0.0112878317768502,0.00366671559942279,-0.00051873287466196,-0.000472189443458262,-0.277021525298811
1.56,0.0310660603075196,6.73717545135346,21.1925655395435,66.5474476074286,81.4290030578764,0.0112878317768502,0.00366671559942279,-0.00051873287466196,-0.000472189443458262,-0.277021525298811
1.58,0.0321013666328445,6.76066867271072,21.2497372098946,66.5471291272513,81.5780644396213,0.011417027469197,0.00369853833266838,-0.000523017904593867,-0.000473296573913121,-0.289796055829416
1.6,0.0321013666328445,6.76066867271072,21.2497372098946,66.5471291272513,81.5780644396213,0.011417027469197,0.00369853833266838,-0.000523017904593867,-0.000473296573913121,-0.289796055829416
1.62,0.0324059437577744,6.7822765122893,21.2977914782906,66.5466674206714,81.6966932486042,0.0115199470159966,0.00372329872932753,-0.000526330961691364,-0.000474284917274563,-0.301879962944456
1.64,0.0324059437577744,6.7822765122893,21.2977914782906,66.5466674206714,81.6966932486042,0.0115199470159966,0.00372329872932753,-0.000526330961691364,-0.000474284917274563,-0.301879962944456
1.66,0.0330342091714115,6.80104977409182,21.3373440911915,66.546048138859,81.7845184415271,0.0116157417416733,0.00374854658433499,-0.00052965946396556,-0.000475148005088975,-0.313198034700273
1.68,0.0330342091714115,6.80104977409182,21.3373440911915,66.546048138859,81.7845184415271,0.0116157417416733,0.00374854658433499,-0.00052965946396556,-0.000475148005088975,-0.313198034700273
1.7,0.0344792786758882,6.81691043824089,21.3666065061462,66.54537918666,81.8507268003936,0.0117184794870873,0.00377930287277088,-0.000533817302806005,-0.000476006973738271,-0.323773239736785
1.72,0.0344792786758882,6.81691043824089,21.3666065061462,66.54537918666,81.8507268003936,0.0117184794870873,0.00377930287277088,-0.000533817302806005,-0.000476006973738271,-0.323773239736785
1.74,0.0365870910694355,6.83015066111684,21.3865008610415,66.5447880384098,81.9006526557157,0.0118271856252266,0.00381458035212826,-0.000537716402172146,-0.000476951103557757,-0.333505075266768
1.76,0.0365870910694355,6.83015066111684,21.3865008610415,66.5447880384098,81.9006526557157,0.0118271856252266,0.00381458035212826,-0.000537716402172146,-0.000476951103557757,-0.333505075266768
1.78,0.0388929187892283,6.84149275691711,21.4001291478615,66.5443556279005,81.9324878866483,0.0119312494564247,0.00384959607466292,-0.000541220604157434,-0.000477898407606955,-0.342391136563717
1.8,0.0388929187892283,6.84149275691711,21.4001291478615,66.5443556279005,81.9324878866483,0.0119312494564247,0.00384959607466292,-0.000541220604157434,-0.000477898407606955,-0.342391136563717
1.82,0.0408691401150686,6.85124334129546,21.4078994524266,66.5440870859437,81.9480557753945,0.0120201833680056,0.00387943042415933,-0.000544483595057424,-0.000478691664947239,-0.350393105881275
1.84,0.0408691401150686,6.85124334129546,21.4078994524266,66.5440870859437,81.9480557753945,0.0120201833680056,0.00387943042415933,-0.000544483595057424,-0.000478691664947239,-0.350393105881275
1.86,0.0422256686293139,6.85948900216966,21.4104873052086,66.5439273451977,81.9486605885589,0.0120882583783914,0.00390132961456106,-0.00054708690185319,-0.000479336366809148,-0.35748364479755
1.88,0.0422256686293139,6.85948900216966,21.4104873052086,66.5439273451977,81.9486605885589,0.0120882583783914,0.00390132961456106,-0.00054708690185319,-0.000479336366809148,-0.35748364479755
1.9,0.0429828704178298,6.86642594926465,21.4090290054609,66.5438022105658,81.9342646767602,0.0121364489709846,0.00391607512885643,-0.000548981386719803,-0.000479845850223035,-0.36365438452696
1.92,0.0429828704178298,6.86642594926465,21.4090290054609,66.5438022105658,81.9342646767602,0.0121364489709846,0.00391607512885643,-0.000548981386719803,-0.000479845850223035,-0.36365438452696
1.94,0.0434241062700399,6.87207456794283,21.4046722689583,66.5436609495031,81.9040336974746,0.0121703917269664,0.00392611912468891,-0.000550385273852114,-0.000480244985574607,-0.36892769862738
1.96,0.0434241062700399,6.87207456794283,21.4046722689583,66.5436609495031,81.9040336974746,0.0121703917269664,0.00392611912468891,-0.000550385273852114,-0.000480244985574607,-0.36892769862738
1.98,0.0438616272278178,6.8764893369161,21.3980574562478,66.5434971771613,81.8579819961065,0.0121968985977874,0.00393422139120647,-0.000551546995769005,-0.000480628200919673,-0.373356974339026
2,0.0438616272278178,6.8764893369161,21.3980574562478,66.5434971771613,81.8579819961065,0.0121968985977874,0.00393422139120647,-0.000551546995769005,-0.000480628200919673,-0.373356974339026
2.02,0.0444669683458355,6.87971305430972,21.3893707765957,66.543340013576,81.7973753705906,0.0122198415358195,0.00394200487006539,-0.000552694292126814,-0.0004809357481375,-0.377006436205759
